Site Code,Building Code,Building Description,Building Name,Building Type,Street 1 Number,Street 1 Address,Street 2 Number,Street 2 Address,City,Sq Ft,Number of Buildings,Height,Stories
CRC,532,176 BAY STATE ROAD,CLASSICS HOUSE,Residential,176,BAY STATE ROAD,,,Boston,4903.89,1,43',B+3
CRC,533,175 BAY STATE ROAD,,Residential,175,BAY STATE ROAD,,,Boston,6898.98,1,47',B+4
CRC,534,166-168 BAY STATE ROAD,GENERAL STUDIES HOUSE,Residential,166-168,BAY STATE ROAD,,,Boston,12453.16,2,"40',50'",B+4
CRC,535,182 BAY STATE ROAD,,Residential,182,BAY STATE ROAD,,,Boston,4951.86,1,40',B+3
CRC,536,191 BAY STATE ROAD,HARRIET RICHARDS HOUSE,Residential,191,BAY STATE ROAD,,,Boston,12101.22,1,58',B + 5
CRC,537,208 BAY STATE ROAD,,Residential,208,BAY STATE ROAD,,,Boston,6546.28,1,51',B+4
CRC,538,206 BAY STATE ROAD,,Residential,206,BAY STATE ROAD,,,Boston,6820.32,1,52',B+4
CRC,539,225 BAY STATE ROAD,DAHOD FAMILY ALUMNI CENTER AT THE CASTLE,Administrative,225,BAY STATE ROAD,,,Boston,15633.31,1,50',B + 4
CRC,540,198 BAY STATE ROAD,,Residential,198,BAY STATE ROAD,,,Boston,5085.87,1,46',B+3
CRC,541,199 BAY STATE ROAD,,Residential,199,BAY STATE ROAD,,,Boston,6780.59,1,42',B+4
CRC,542,226 BAY STATE ROAD,,Academic,226,BAY STATE ROAD,,,Boston,18331.81,1,65',B + 5
CRC,543,177 BAY STATE ROAD,,Residential,177,BAY STATE ROAD,,,Boston,7128.95,1,52',B+4
CRC,544,179 BAY STATE ROAD,EDUCATION HOUSE,Residential,179,BAY STATE ROAD,,,Boston,7057.38,1,48',B+4
CRC,545,232 BAY STATE ROAD,,Academic,232,BAY STATE ROAD,,,Boston,34022.08,1,60',B + 5
CRC,546,196 BAY STATE ROAD,THEOLOGY HOUSE,Residential,196,BAY STATE ROAD,,,Boston,4932.22,1,40',B+3
CRC,547,214 BAY STATE ROAD,,Residential,214,BAY STATE ROAD,,,Boston,6285.53,1,42',B+4
CRC,548,236 BAY STATE ROAD,,Academic,236,BAY STATE ROAD,,,Boston,27149.14,1,60',B + 5
CRC,551,264-270 BAY STATE ROAD,,Academic,264-270,BAY STATE ROAD,,,Boston,64644.59,1,58',B + 5
CRC,552,141 BAY STATE ROAD,,Academic,141,BAY STATE ROAD,,,Boston,7839.8,1,42',B + 4
CRC,553,157 BAY STATE ROAD,PARIETAL HOUSE,Residential,157,BAY STATE ROAD,,,Boston,9551.19,1,45',B+4
CRC,554,195-197 BAY STATE ROAD,,Residential,195-197,BAY STATE ROAD,,,Boston,13747.44,2,"50',40'",B + 4
CRC,555,11 BAY STATE ROAD,,Residential,11,BAY STATE ROAD,,,Boston,9596.25,1,60',B + 5
CRC,556,193 BAY STATE ROAD,FISK HOUSE,Residential,193,BAY STATE ROAD,,,Boston,6974.95,1,42',B+4
CRC,557,201 BAY STATE ROAD,,Residential,201,BAY STATE ROAD,,,Boston,6933.11,1,52',B+4
CRC,558,203 BAY STATE ROAD,,Residential,203,BAY STATE ROAD,,,Boston,6954.06,1,45',B+4
CRC,560,181 BAY STATE ROAD,,Residential,181,BAY STATE ROAD,,,Boston,7200.27,1,52',B+4
CRC,561,765 COMMONWEALTH AVENUE,SCHOOL OF LAW,Academic,765,COMMONWEALTH AVENUE,,,Boston,299250.53,1,"232'5""",SB+ B+ M+20
CRC,563,117 BAY STATE ROAD,KILACHAND HONORS HOUSE,Residential,117,BAY STATE ROAD,,,Boston,10143.13,1,62',B+5
CRC,564,126 BAY STATE ROAD,,Residential,126,BAY STATE ROAD,,,Boston,6223.95,1,37',B + 4
CRC,565,194 BAY STATE ROAD,,Residential,194,BAY STATE ROAD,,,Boston,4916,1,46',B+3
CRC,571,233 BAY STATE ROAD,ALAN & SHERRY LEVENTHAL CENTER - ADMISSIONS,Academic,233,BAY STATE ROAD,,,Boston,18612.51,1,50',B + 3
CRC,572,180 BAY STATE ROAD,,Residential,180,BAY STATE ROAD,,,Boston,4846.51,1,40',B+3
CRC,573,210-212 BAY STATE ROAD,,Residential,210-212,BAY STATE ROAD,,,Boston,12664.23,2,45',B+4
CRC,574,207 BAY STATE ROAD,MUSIC HOUSE,Residential,207,BAY STATE ROAD,,,Boston,8069.54,1,45',B+4
CRC,575,213 BAY STATE ROAD,FLORENCE AND CHAFETZ HILLEL HOUSE,Student Support,213,BAY STATE ROAD,,,Boston,32551.43,1,57',B + 4
CRC,576,531 BEACON STREET,,Residential,531,BEACON STREET,,,Boston,9075.24,1,54',B+4
CRC,578,347 BAY STATE ROAD,SAILING PAVILION,Athletic,347,BAY STATE ROAD,,,Boston,2092.94,1,12',1
CRC,579,25 BUICK STREET,,Administrative,25,BUICK STREET,,,Boston,124697.73,1,59',B + 3
CRC,581,2 CUMMINGTON MALL,BIOLOGICAL SCIENCE CENTER,Research,2,CUMMINGTON MALL,,,Boston,59825.75,1,54',B + 5
